,List Iterations,Duration since innit,Total Malus,Swap Class Random,Swap Class Capacity,Swap Student Gaphour,Swap Student Doublehour
88,88,478.09,180,0,0,0,0
89,89,482.88,180,0,0,0,0
90,90,487.85,180,0,0,0,0
91,91,492.57,180,0,0,0,0
92,92,498.43,180,0,0,0,0
93,93,506.54,180,0,0,0,0
94,94,514.46,180,0,0,0,0
95,95,520.36,180,0,0,0,0
96,96,527.84,180,0,0,0,0
97,97,533.35,180,0,0,0,0
98,98,538.18,179,0,0,1,0
99,99,542.91,179,0,0,0,0
100,100,547.56,179,0,0,0,0
101,101,552.22,179,0,0,0,0
102,102,557.0,179,0,0,0,0
103,103,561.88,178,0,0,0,1
104,104,566.52,176,2,0,0,1
105,105,571.28,174,2,0,0,0
106,106,575.95,174,0,0,0,0
107,107,581.0,174,0,0,0,0
108,108,587.5,174,0,0,0,0
109,109,592.48,174,0,0,0,0
110,110,597.67,174,0,0,0,0
111,111,602.88,174,0,0,0,0
112,112,608.14,171,0,3,0,0
113,113,613.42,171,0,0,0,0
114,114,618.58,167,4,0,0,0
115,115,623.55,167,0,0,0,0
116,116,628.32,167,0,0,0,0
117,117,633.29,165,0,0,0,2
118,118,637.96,165,0,0,0,0
119,119,642.64,165,0,0,0,0
120,120,647.7,165,0,0,0,0
121,121,654.68,164,0,0,1,0
122,122,661.32,162,0,2,0,0
